Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
SqueezeNet1_0,Conv2d-1,256,200705,1.43531e+07,5.99997,418.025,4.39674e+08,6004.41,1024,2.00033,7,9,38,6,1,1,150528,96,8.38997e+07,1204224,2816.18,56.5248,4,3127.71,1204224, 301035, 301035, 150528, 4.00028, 1204224, 96, 96, 96, 12544, 1204224, 1204224, 1605632, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 12, 4
SqueezeNet1_0,Conv2d-2,256,200705,7.53342e+07,63.9997,849.544,4.39674e+08,6004.41,1024,16.004,80,9,328,6,1,1,401408,1024,1.70508e+08,12845056,2816.18,56.5248,4,3127.71,12845056, 3211040, 3211040, 401408, 4.00028, 12845056, 1024, 1024, 1024, 12544, 12845056, 12845056, 401408, 401408, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 128, 4
SqueezeNet1_0,Conv2d-3,256,12101,5.5937e+07,287.976,5148.22,4.39674e+08,6004.41,1024,97.7693,576,9,1214,54,1,1,401408,288,6.22986e+07,3484800,2816.18,56.5248,4,3127.71,3484800, 1182720, 1182720, 401408, 2.94643, 3484800, 288, 288, 288, 12100, 3484800, 3484800, 387200, 375100, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 32, 3
SqueezeNet1_0,Conv2d-4,256,100353,6.01239e+07,63.9994,1064.46,4.39674e+08,6004.41,1024,16.0041,80,9,328,6,1,1,401408,512,1.06822e+08,6422528,2816.18,56.5248,4,3127.71,6422528, 1605536, 1605536, 401408, 4.00024, 6422528, 512, 512, 512, 12544, 6422528, 6422528, 200704, 200704, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 128, 4
SqueezeNet1_0,Conv2d-5,256,12545,1.14432e+07,15.9987,1398.1,4.39674e+08,6004.41,1024,16.0013,32,9,94,6,1,1,200704,16,1.75392e+07,200704,2816.18,56.5248,4,3127.71,200704, 200704, 200704, 200704, 1, 200704, 16, 16, 16, 12544, 200704, 200704, 200704, 188160, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 16, 1
SqueezeNet1_0,Conv2d-6,256,602113,1.06242e+08,31.9999,301.198,4.39674e+08,6004.41,1024,8.00194,40,9,168,6,1,1,200704,1536,1.81356e+08,19267584,2816.18,56.5248,4,3127.71,19267584, 4816528, 4816528, 200704, 4.00031, 19267584, 1536, 1536, 1536, 12544, 19267584, 19267584, 1204224, 1204224, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 64, 4
SqueezeNet1_0,Conv2d-7,256,3027,7.32514e+07,863.429,11787.2,4.39674e+08,6004.41,1024,581.522,1728,9,3646,54,1,1,1204224,864,3.56798e+07,2613600,2816.18,56.5248,4,3127.71,2613600, 1758240, 1758240, 1204224, 1.48649, 2613600, 864, 864, 864, 3025, 2613600, 2613600, 1161600, 287375, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 96, 1.5
SqueezeNet1_0,Conv2d-8,256,301057,1.96154e+08,95.9997,489.41,4.39674e+08,6004.41,1024,32.0359,160,9,648,6,1,1,301056,9216,1.4734e+08,28901376,2816.18,56.5248,4,3127.71,28901376, 9632320, 9632320, 301056, 3.00046, 28901376, 12288, 12288, 9216, 2352, 28901376, 28901376, 301056, 602112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-9,256,301057,3.67825e+08,95.9997,260.993,4.39674e+08,6004.41,1024,32.0359,160,9,648,6,1,1,301056,9216,7.85738e+07,28901376,2816.18,56.5248,4,3127.71,28901376, 9632320, 9632320, 301056, 3.00046, 28901376, 12288, 12288, 9216, 2352, 28901376, 28901376, 301056, 602112, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 256, 4
SqueezeNet1_0,Conv2d-10,256,2918,4.10352e+07,863.408,21040.7,4.39674e+08,6004.41,1024,298.963,1728,9,3646,54,1,1,301056,864,6.13966e+07,2519424,2816.18,56.5248,4,3127.71,2519424, 870912, 870912, 301056, 2.89286, 2519424, 864, 864, 864, 2916, 2519424, 2519424, 279936, 277020, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 96, 3
